ID,DisplayName,Path,SecurityLastChangeDate,ISINCode,CFICode,FISNCode,StockLongName,DrawerPrimeNumber,DrawerShortName,DrawerLongName,DrawerAddress,Currency,NominalValue,EmitValueSum,StockType,ShareType,ShareClass,ISINType,StockForm,BET,ISINStatus,EmitDate,Expiration,StockRating,DematForm,DematDate,TransferTie
580863,HU0000020227,/Root/KelerData/ISIN/items/HU000002/HU0000020227,2022-06-06,HU0000020227,ESXXFR,TIARA Zrt. v.a./SHS FPD,Tiara Gazdaságszervezõ és Tõkebefektet. Törzsrészvény,12355833,TIARA Zrt. f.a.,TIARA Gazdaságszervezõ és Tõkebefektetési Zártkörûen Mûködõ Részvénytársaság felszámolás alatt,Budapest,HUF,0,80 000 000,Részvény,Törzsrészvény,,Névre szóló,Nyomdai,Nem,Aktív,1998-01-01,,A,N/A,,N/A
581438,HU0000025978,/Root/KelerData/ISIN/items/HU000002/HU0000025978,2022-06-06,HU0000025978,ESXXFR,SCHWINN/SHS FPD,Schwinn Csepel Kerékpárgyártó és Forg.Rt Törzsrészvény,12022416,Csepel Zrt.,Csepel Kerékpárgyártó és Forgalmazó Zártkörûen Mûködõ Részvénytársaság,Budapest,HUF,0,590 000 000,Részvény,Törzsrészvény,,Névre szóló,Nyomdai,Nem,Aktív,1994-12-20,,A,N/A,,N/A
582806,HU0000039649,/Root/KelerData/ISIN/items/HU000003/HU0000039649,2022-06-06,HU0000039649,ESXXFR,FONYODO.B./SHS FPD,Fonyód-Ordacsehi-Balaton Agrár Rt. Törzsrészvény,11900090,BALATON Agrár ZRt.,BALATON Agrár Zártkörûen Mûködõ Részvénytársaság ,Ordacsehi,HUF,0,181 917 000,Részvény,Törzsrészvény,,Névre szóló,Nyomdai,Nem,Aktív,1999-07-15,,A,N/A,,N/A
584247,HU0000054036,/Root/KelerData/ISIN/items/HU000005/HU0000054036,2022-06-06,HU0000054036,EPXNXR,CONCORDIAK/PFD DIV,Concordia Közraktár Kereskedelmi Rt. Elsõbbségi részvény,10907087,CONCORDIA KÖZRAKTÁR Zrt.,CONCORDIA KÖZRAKTÁR Kereskedelmi Zártkörûen Mûködõ Részvénytársaság,Budapest,HUF,0,200 000 000,Részvény,,,Névre szóló,Nyomdai,Nem,Aktív,1993-06-30,,A,N/A,,N/A
585199,HU0000063540,/Root/KelerData/ISIN/items/HU000006/HU0000063540,2022-06-06,HU0000063540,ESXXFR,CREDITHOIN/SHS FPD,Credit House Magyarország Ingatlanlízing Törzsrészvény,12944237,CREDIT HOUSE Magyarország Zrt.,CREDIT HOUSE Magyarország Jelzáloghitelezési Zártkörüen Mûködõ Részvénytársaság,Budapest,HUF,0,50 000 000,Részvény,Törzsrészvény,,Névre szóló,Nyomdai,Nem,Aktív,2002-06-11,,A,N/A,,N/A
585995,HU0000071493,/Root/KelerData/ISIN/items/HU000007/HU0000071493,2022-06-06,HU0000071493,ESVXFR,MPP/SHS VTG FPD,MPP Magyarország Informatikai Szolgáltató Rt. Törzsrészvény,13237857,MPP Magyarország ZRt.,MPP Magyarország Informatikai Szolgáltató Zártkörûen Mûködõ Részvénytársaság,Budapest,HUF,100,25 000 000,Részvény,Törzsrészvény,,Névre szóló,Nyomdai,Nem,Aktív,2004-02-05,,A,N/A,,N/A
586217,HU0000073713,/Root/KelerData/ISIN/items/HU000007/HU0000073713,2022-06-06,HU0000073713,ESVXFR,REMEDIEN/SHS VTG FPD,Remedien Környezetvédelmi Szolgáltató Rt. Törzsrészvény,13333740,REMEDIEN Zrt.,REMEDIEN Környezetvédelmi Szolgáltató Zártkörûen Mûködõ Részvénytársaság,Veszprém,HUF,1 000 000,20 000 000,Részvény,Törzsrészvény,,Névre szóló,Nyomdai,Nem,Aktív,2004-08-02,,A,N/A,,N/A
586879,HU0000080320,/Root/KelerData/ISIN/items/HU000008/HU0000080320,2020-07-31,HU0000080320,ESVXFR,KASZ-COOP/SHS VTG FPD,KASZ-COOP Derecske Kereskedelmi Mezõgazdasági  Törzsrészvény,11621294,KASZ-COOP,KASZ-COOP Derecske Kereskedelmi Mezõgazdasági,Derecske,HUF,1 000 000,183 000 000,Részvény,Törzsrészvény,,Névre szóló,Nyomdai,Nem,Törölt,2005-09-15,,A,N/A,,N/A
586935,HU0000080882,/Root/KelerData/ISIN/items/HU000008/HU0000080882,2023-06-02,HU0000080882,ESVXFR,Ersekcsanadi Mg/SHS VTG FPD,Érsekcsanádi Zártkörû Mezõgazdasági Részvénytársaság Törzsrészvény,13584032,Érsekcsanádi Mg. Zrt. f. a.,Érsekcsanádi Zártkörû Mezõgazdasági Részvénytársaság felszámolás alatt,Budapest,HUF,1 000,79 332 000,Részvény,Törzsrészvény,,Névre szóló,Nyomdai,Nem,Törölt,2005-08-16,,A,N/A,,N/A
587398,HU0000085519,/Root/KelerData/ISIN/items/HU000008/HU0000085519,2022-06-06,HU0000085519,ESVXFR,UJ HAZ ZRT./SHS VTG FPD,ÚJ HÁZZRT Törzsrészvény,13598152,ÚJ HÁZ ZRT.,ÚJ HÁZ Építõanyag Nagykereskedelmi Zártkörûen Mûködõ Részvénytársaság,Tényõ,HUF,10 000,952 960 000,Részvény,Törzsrészvény,,Névre szóló,Nyomdai,Nem,Aktív,2006-03-17,,A,N/A,,N/A
